rpm	 J-Current density	 V_ph (rms)	 I_ph (rms)	 P_desired	 P_total	 Efficiency	 Temperature	 P_net
1	1.380210e+00	2.453244e+01	4.127490e+02	195000	2.440041e+05	7.469680e-01	2.311017e+01	1.822633e+05
 1	2.123457e+00	1.953878e+01	6.350157e+02	420000	3.714655e+05	6.012236e-01	2.736175e+01	2.233338e+05
 2.900000e+00	1.708200e+00	8.445735e+01	5.108338e+02	786000	8.737301e+05	8.888169e-01	2.476399e+01	7.765860e+05
 4.800000e+00	1.632216e+00	1.471699e+02	4.881110e+02	1296000	1.386012e+06	9.329174e-01	2.434960e+01	1.293034e+06
 6.700000e+00	1.731244e+00	2.084140e+02	5.177251e+02	1943000	2.052524e+06	9.462599e-01	2.489340e+01	1.942221e+06
 8.600000e+00	1.863488e+00	2.691282e+02	5.572726e+02	2699000	2.834165e+06	9.525202e-01	2.566953e+01	2.699600e+06
 1.050000e+01	1.964690e+00	3.299195e+02	5.875368e+02	3487000	3.647313e+06	9.566268e-01	2.630205e+01	3.489117e+06
 12	2.054878e+00	3.776239e+02	6.145075e+02	4174000	4.357360e+06	9.585963e-01	2.689392e+01	4.176949e+06
 12	2.494736e+00	3.716862e+02	7.460462e+02	5000000	5.239736e+06	9.525881e-01	3.016116e+01	4.991311e+06
 
