rpm	 J-Current density	 V_ph (rms)	 I_ph (rms)	 P_desired	 P_total	 Efficiency	 Temperature	 P_net
1	1.364160e+00	2.466227e+01	4.105515e+02	195000	2.441071e+05	7.466083e-01	2.303826e+01	1.822524e+05
 1	2.099845e+00	1.963907e+01	6.319600e+02	420000	3.718870e+05	6.007200e-01	2.719894e+01	2.234000e+05
 2.900000e+00	1.687827e+00	8.494124e+01	5.079609e+02	786000	8.739912e+05	8.886164e-01	2.465104e+01	7.766430e+05
 4.800000e+00	1.612683e+00	1.480152e+02	4.853460e+02	1296000	1.386478e+06	9.326472e-01	2.424612e+01	1.293095e+06
 6.700000e+00	1.710440e+00	2.096218e+02	5.147665e+02	1943000	2.053329e+06	9.459336e-01	2.477650e+01	1.942313e+06
 8.600000e+00	1.840999e+00	2.707035e+02	5.540589e+02	2699000	2.835420e+06	9.521488e-01	2.553352e+01	2.699742e+06
 1.050000e+01	1.940899e+00	3.318657e+02	5.841243e+02	3487000	3.649109e+06	9.562100e-01	2.615035e+01	3.489315e+06
 12	2.029923e+00	3.798670e+02	6.109165e+02	4174000	4.359653e+06	9.581511e-01	2.672749e+01	4.177207e+06
 12	2.464025e+00	3.739802e+02	7.415620e+02	5000000	5.242278e+06	9.522447e-01	2.991252e+01	4.991931e+06
 
