Distance [mm];By [];Bag;#;;;
47,80843353;0,437741369;0,453;89;1,110281741;0,456870204;63,61445782
48,35171119;0,43958991;0,453;90;1,122898579;0,459693355;64,3373494
48,89498884;0,441404419;0,453;91;1,135515417;0,46244333;65,06024096
49,4382665;0,443184897;0,453;92;1,148132255;0,465119693;65,78313253
49,98154415;0,444931341;0,453;93;1,160749093;0,467722017;66,5060241
50,5248218;0,44664375;0,453;94;1,173365931;0,470249888;67,22891566
51,06809946;0,448322122;0,453;95;1,185982769;0,472702903;67,95180723
51,61137711;0,449966455;0,453;96;1,198599607;0,475080672;68,67469879
52,15465477;0,451576749;0,453;97;1,211216445;0,477382816;69,39759037
52,69793242;0,453153002;0,453;98;1,223833283;0,47960897;70,12048193
53,24121007;0,454374581;0,453;99;1,236450121;0,481758778;70,84337349
53,78448773;0,455075718;0,453;100;1,249066959;0,483831899;71,56626506
54,32776538;0,455827959;0,453;101;1,261683797;0,485828002;72,28915662
54,87104303;0,456631299;0,453;102;1,274300634;0,48774677;73,01204819
55,41432069;0,457485734;0,453;103;1,286917473;0,489587897;73,73493976
55,95759834;0,458414936;0,453;104;1,29953431;0,49135109;74,45783132
56,500876;0,459375794;0,453;105;1,312151149;0,493036069;75,1807229
57,04415365;0,460182558;0,453;106;1,324767986;0,494642565;75,90361446
57,5874313;0,460785906;0,453;107;1,337384824;0,496170322;76,62650602
58,13070896;0,461358742;0,453;108;1,350001662;0,497619098;77,34939759
58,67398661;0,461901066;0,453;109;1,3626185;0,498988662;78,07228915
59,21726426;0,462412879;0,453;110;1,375235338;0,500278795;78,79518072
59,76054192;0,462894182;0,453;111;1,387852176;0,501489293;79,51807229
60,30381957;0,463344975;0,453;112;1,400469014;0,502619963;80,24096385
60,84709723;0,463765259;0,453;113;1,413085852;0,503670624;80,96385543
61,39037488;0,464155034;0,453;114;1,42570269;0,50464111;81,68674699
61,93365253;0,464514302;0,453;115;1,438319528;0,505531265;82,40963855
62,47693019;0,464843061;0,453;116;1,450936366;0,506340949;83,13253012
63,02020784;0,465138762;0,453;117;1,463553204;0,507070032;83,85542168
63,56348549;0,465388858;0,453;118;1,476170042;0,507718399;84,57831324
64,10676315;0,465617245;0,453;119;1,48878688;0,508285946;85,30120482
64,6500408;0,465823924;0,453;120;1,501403718;0,508772582;86,02409638
65,19331846;0,466008897;0,453;121;1,514020556;0,509178231;86,74698795
65,73659611;0,466172164;0,453;122;1,526637394;0,509502828;87,46987952
66,27987376;0,466313725;0,453;123;1,539254232;0,509746321;88,19277108
66,82315142;0,466433581;0,453;124;1,55187107;0,509908671;88,91566265
67,36642907;0,466531733;0,453;125;1,564487908;0,509989852;89,63855421
67,90970673;0,466608182;0,453;126;1,577104746;0,509989852;90,36144579
68,45298438;0,466660434;0,453;127;1,589721584;0,509908671;91,08433735
68,99626203;0,466667541;0,453;128;1,602338422;0,509746321;91,80722891
69,53953969;0,468214837;0,453;129;1,61495526;0,509502828;92,53012048
70,08281734;0,468221103;0,453;130;1,627572098;0,509178231;93,25301205
70,62609499;0,468187389;0,453;131;1,640188935;0,508772582;93,97590361
71,16937265;0,468112941;0,453;132;1,652805774;0,508285946;94,69879518
71,7126503;0,467378018;0,453;133;1,665422611;0,507718399;95,42168674
72,25592796;0,466622768;0,453;134;1,67803945;0,507070032;96,14457832
72,79920561;0,465847193;0,453;135;1,690656287;0,506340949;96,86746988
73,34248326;0,465051297;0,453;136;1,703273125;0,505531265;97,59036144
73,88576092;0,464235079;0,453;137;1,715889963;0,50464111;98,31325301
