"Distance [mm],""Bz []""";;;;
0;;;;
0.19373154697137,;;;;
0.387463093942741,;;;;
0.581194640914111,;;;;
0.774926187885482,;;;;
0.968657734856852,;;;;
107,1335455;0,290298903;0,57;29;0,250630875
107,327277;0,300763844;0,57;30;0,258824923
107,5210086;0,311248661;0,57;31;0,266973874
107,7147401;0,321753342;0,57;32;0,275076309
107,9084717;0,332277869;0,57;33;0,283130815
108,1022032;0,342822228;0,57;34;0,291135989
108,2959348;0,353386404;0,57;35;0,299090437
108,4896663;0,363970382;0,57;36;0,306992772
108,6833979;0,374582133;0,57;37;0,314841618
108,8771294;0,385211687;0,57;38;0,322635607
109,0708609;0,395606696;0,57;39;0,330373381
109,2645925;0,405003886;0,57;40;0,338053592
109,458324;0,413350001;0,57;41;0,345674901
109,6520556;0,421325641;0,57;42;0,353235981
109,8457871;0,428947833;0,57;43;0,360735515
110,0395187;0,436159067;0,57;44;0,368172195
110,2332502;0,442959675;0,57;45;0,375544726
110,4269818;0,449349986;0,57;46;0,382851824
110,6207133;0,455330332;0,57;47;0,390092214
110,8144449;0,460901042;0,57;48;0,397264637
111,0081764;0,466062446;0,57;49;0,404367841
111,201908;0,471270721;0,57;50;0,41140059
111,3956395;0,476743086;0,57;51;0,418361657
111,5893711;0,48213061;0,57;52;0,425249831
111,7831026;0,487433229;0,57;53;0,43206391
111,9768341;0,492650876;0,57;54;0,438802708
112,1705657;0,497783484;0,57;55;0,445465051
112,3642972;0,502830989;0,57;56;0,452049777
112,5580288;0,507793323;0,57;57;0,458555739
112,7517603;0,512670421;0,57;58;0,464981805
112,9454919;0,517462217;0,57;59;0,471326853
113,1392234;0,522168644;0,57;60;0,477589779
113,332955;0,526789638;0,57;61;0,483769492
113,5266865;0,531325132;0,57;62;0,489864914
113,7204181;0,53577506;0,57;63;0,495874983
113,9141496;0,540139356;0,57;64;0,501798653
114,1078812;0,544417955;0,57;65;0,507634892
114,3016127;0,548610791;0,57;66;0,513382681
114,4953443;0,552717797;0,57;67;0,519041021
114,6890758;0,55673891;0,57;68;0,524608925
114,8828074;0,560674062;0,57;69;0,530085422
115,0765389;0,564523188;0,57;70;0,53546956
115,2702704;0,568286222;0,57;71;0,540760398
115,464002;0,5719631;0,57;72;0,545957017
115,6577335;0,575553755;0,57;73;0,55105851
115,8514651;0,579058122;0,57;74;0,556063988
116,0451966;0,582476135;0,57;75;0,560972579
116,2389282;0,585807729;0,57;76;0,565783429
116,4326597;0,589017722;0,57;77;0,570495698
116,6263913;0,592223035;0,57;78;0,575108566
116,8201228;0,595558163;0,57;79;0,579621229
117,0138544;0,599023107;0,57;80;0,584032901
117,2075859;0,602617868;0,57;81;0,588342813
117,4013175;0,606342447;0,57;82;0,592550214
117,595049;0,610196845;0,57;83;0,596654371
117,7887806;0,613559061;0,57;84;0,600654568
117,9825121;0,616564776;0,57;85;0,60455011
118,1762437;0,619609019;0,57;86;0,608340317
118,3699752;0,622691763;0,57;87;0,612024529
118,5637067;0,625812983;0,57;88;0,615602104
118,7574383;0,628972654;0,57;89;0,619072418
118,9511698;0,630104674;0,57;90;0,622434868
119,1449014;0,631223655;0,57;91;0,625688866
119,3386329;0,632355633;0,57;92;0,628833846
119,5323645;0,633500606;0,57;93;0,631869261
119,726096;0,634658569;0,57;94;0,63479458
119,9198276;0,635829518;0,57;95;0,637609295
120,1135591;0,63701345;0,57;96;0,640312916
120,3072907;0,638210361;0,57;97;0,64290497
120,5010222;0,639420246;0,57;98;0,645385007
120,6947538;0,640643103;0,57;99;0,647752593
120,8884853;0,641878928;0,57;100;0,650007318
121,0822169;0,643202295;0,57;101;0,652148788
121,2759484;0,644615042;0,57;102;0,654176629
121,46968;0,646026669;0,57;103;0,656090489
121,6634115;0,647437188;0,57;104;0,657890034
121,857143;0,64884661;0,57;105;0,65957495
122,0508746;0,650254947;0,57;106;0,661144944
122,2446061;0,651662212;0,57;107;0,662599742
122,4383377;0,652635416;0,57;108;0,663939092
122,6320692;0,653016465;0,57;109;0,665162758
122,8258008;0,653372224;0,57;110;0,666270529
123,0195323;0,653702694;0,57;111;0,667262212
123,2132639;0,654007878;0,57;112;0,668137632
123,4069954;0,654287778;0,57;113;0,668896639
123,600727;0,654542394;0,57;114;0,669539099
123,7944585;0,654771729;0,57;115;0,670064901
123,9881901;0,654975785;0,57;116;0,670473954
124,1819216;0,655154563;0,57;117;0,670766185
124,3756532;0,655308066;0,57;118;0,670941544
124,5693847;0,655229017;0,57;119;0,671
124,7631162;0,655104269;0,57;120;0,670941544
124,9568478;0,654946001;0,57;121;0,670766185
125,1505793;0,654754207;0,57;122;0,670473954
125,3443109;0,654528887;0,57;123;0,670064901
125,5380424;0,654270037;0,57;124;0,669539099
125,731774;0,653977655;0,57;125;0,668896639
125,9255055;0,653651738;0,57;126;0,668137632
126,1192371;0,653292283;0,57;127;0,667262212
126,3129686;0,652899289;0,57;128;0,666270529
126,5067002;0,652472752;0,57;129;0,665162758
126,7004317;0,65201267;0,57;130;0,663939092
126,8941633;0,65151904;0,57;131;0,662599742
127,0878948;0,650991861;0,57;132;0,661144944
127,2816264;0,650431128;0,57;133;0,65957495
127,4753579;0,649836841;0,57;134;0,657890034
127,6690895;0,649208995;0,57;135;0,656090489
127,862821;0,64854759;0,57;136;0,654176629
128,0565525;0,647702479;0,57;137;0,652148788
128,2502841;0,646710876;0,57;138;0,650007318
128,4440156;0,645666913;0,57;139;0,647752593
128,6377472;0,644570586;0,57;140;0,645385007
128,8314787;0,643421888;0,57;141;0,64290497
129,0252103;0,642220814;0,57;142;0,640312916
129,2189418;0,640967358;0,57;143;0,637609295
129,4126734;0,639661514;0,57;144;0,63479458
129,6064049;0,638303277;0,57;145;0,631869261
129,8001365;0,636892641;0,57;146;0,628833846
129,993868;0,6354296;0,57;147;0,625688866
130,1875996;0,633911052;0,57;148;0,622434868
130,3813311;0,632335564;0,57;149;0,619072418
130,5750627;0,630796057;0,57;150;0,615602104
130,7687942;0,629292539;0,57;151;0,612024529
130,9625258;0,627825017;0,57;152;0,608340317
131,1562573;0,626393499;0,57;153;0,60455011
131,3499888;0,624997991;0,57;154;0,600654568
131,5437204;0,623638501;0,57;155;0,596654371
131,7374519;0,622315036;0,57;156;0,592550214
131,9311835;0,620382177;0,57;157;0,588342813
132,124915;0,61752118;0,57;158;0,584032901
132,3186466;0,61466793;0,57;159;0,579621229
132,5123781;0,611822439;0,57;160;0,575108566
132,7061097;0,608984723;0,57;161;0,570495698
132,8998412;0,606154793;0,57;162;0,565783429
133,0935728;0,603332664;0,57;163;0,560972579
133,2873043;0,60051835;0,57;164;0,556063988
133,4810359;0,597711864;0,57;165;0,55105851
133,6747674;0,594913219;0,57;166;0,545957017
133,868499;0,59212243;0,57;167;0,540760398
134,0622305;0,58933951;0,57;168;0,53546956
134,2559621;0,586564471;0,57;169;0,530085422
134,4496936;0,585290396;0,57;170;0,524608925
134,6434251;0,58569629;0,57;171;0,519041021
134,8371567;0,585718923;0,57;172;0,513382681
135,0308882;0,585358131;0,57;173;0,507634892
135,2246198;0,584613751;0,57;174;0,501798653
135,4183513;0,583485617;0,57;175;0,495874983
135,6120829;0,581973567;0,57;176;0,489864914
135,8058144;0,580077435;0,57;177;0,483769492
135,999546;0,577797059;0,57;178;0,477589779
136,1932775;0,575132275;0,57;179;0,471326853
136,3870091;0,572082919;0,57;180;0,464981805
136,5807406;0,568648827;0,57;181;0,458555739
136,7744722;0,56356817;0,57;182;0,452049777
136,9682037;0,557668681;0,57;183;0,445465051
137,1619353;0,551686426;0,57;184;0,438802708
137,3556668;0,545621398;0,57;185;0,43206391
137,5493983;0,539473592;0,57;186;0,425249831
137,7431299;0,533243001;0,57;187;0,418361657
137,9368614;0,526929619;0,57;188;0,41140059
138,130593;0,52053344;0,57;189;0,404367841
138,3243245;0,513810914;0,57;190;0,397264637
138,5180561;0,503343608;0,57;191;0,390092214
138,7117876;0,492339075;0,57;192;0,382851824
138,9055192;0,480797545;0,57;193;0,375544726
139,0992507;0,46871925;0,57;194;0,368172195
139,2929823;0,456104422;0,57;195;0,360735515
139,4867138;0,442953293;0,57;196;0,353235981
139,6804454;0,429266094;0,57;197;0,345674901
139,8741769;0,415043058;0,57;198;0,338053592
140,0679085;0,404644778;0,57;199;0,330373381
140,26164;0,39553972;0,57;200;0,322635607
140,4553716;0,38637946;0,57;201;0,314841618
140,6491031;0,377163986;0,57;202;0,306992772
140,8428346;0,367893284;0,57;203;0,299090437
141,0365662;0,35856734;0,57;204;0,291135989
141,2302977;0,349186143;0,57;205;0,283130815
141,4240293;0,339749678;0,57;206;0,275076309
141,6177608;0,330257933;0,57;207;0,266973874
141,8114924;0,320710894;0,57;208;0,258824923
142,0052239;0,311108549;0,57;209;0,250630875
142,1989555;0,301450883;0,57;210;0,242393158
142,392687;0,291737885;0,57;211;0,234113207
142,5864186;0,281969541;0,57;212;0,225792465
142,7801501;0,272145837;0,57;213;0,217432382
142,9738817;0,262266762;0,57;214;0,209034414
143,1676132;0,252332302;0,57;215;0,200600025
143,3613448;0,241961204;0,57;216;0,192130684
143,5550763;0,231582328;0,57;217;0,183627866
143,7488079;0,221244772;0,57;218;0,175093054
143,9425394;0,21094853;0,57;219;0,166527734
144,1362709;0,200693598;0,57;220;0,157933399
144,3300025;0,190479971;0,57;221;0,149311547
144,523734;0,180307645;0,57;222;0,140663678
144,7174656;0,170176615;0,57;223;0,131991301
144,9111971;0,160086876;0,57;224;0,123295926
145,1049287;0,150038423;0,57;225;0,114579069
145,2986602;0,140031252;0,57;226;0,105842248
145,4923918;0,130065357;0,57;227;0,097086985
145,6861233;0,120140735;0,57;228;0,088314806
145,8798549;0,11025738;0,57;229;0,079527239
146,0735864;0,100415287;0,57;230;0,070725816
146,267318;0,088172504;0,57;231;0,061912069
146,4610495;0,07554213;0,57;232;0,053087536
146,6547811;0,062989161;0,57;233;0,044253752
146,8485126;0,050513551;0,57;234;0,035412258
147,0422442;0,038115255;0,57;235;0,026564594
147,2359757;0,025794227;0,57;236;0,017712301
147,4297072;0,013550423;0,57;237;0,008856922
147,6234388;0,001383797;0,57;238;8,22E-17
147,8171703;-0,010705696;-0,57;1;-0,008856922
148,0109019;-0,022718101;-0,57;2;-0,017712301
148,2046334;-0,034653463;-0,57;3;-0,026564594
148,398365;-0,046511829;-0,57;4;-0,035412258
148,5920965;-0,058293242;-0,57;5;-0,044253752
148,7858281;-0,069997749;-0,57;6;-0,053087536
148,9795596;-0,081625395;-0,57;7;-0,061912069
149,1732912;-0,093176224;-0,57;8;-0,070725816
149,3670227;-0,104650283;-0,57;9;-0,079527239
149,5607543;-0,115177829;-0,57;10;-0,088314806
149,7544858;-0,12526224;-0,57;11;-0,097086985
149,9482174;-0,135346094;-0,57;12;-0,105842248
150,1419489;-0,145429378;-0,57;13;-0,114579069
150,3356804;-0,155512082;-0,57;14;-0,123295926
150,529412;-0,165594193;-0,57;15;-0,131991301
150,7231435;-0,175675699;-0,57;16;-0,140663678
150,9168751;-0,185756588;-0,57;17;-0,149311547
151,1106066;-0,195836849;-0,57;18;-0,157933399
151,3043382;-0,20591647;-0,57;19;-0,166527734
151,4980697;-0,215995439;-0,57;20;-0,175093054
151,6918013;-0,226073743;-0,57;21;-0,183627866
151,8855328;-0,236151372;-0,57;22;-0,192130684
152,0792644;-0,246228313;-0,57;23;-0,200600025
152,2729959;-0,256304554;-0,57;24;-0,209034414
152,4667275;-0,266380084;-0,57;25;-0,217432382
152,660459;-0,276454891;-0,57;26;-0,225792465
152,8541906;-0,286528962;-0,57;27;-0,234113207
153,0479221;-0,296602286;-0,57;28;-0,242393158
153,2416537;-0,306674852;-0,57;29;-0,250630875
153,4353852;-0,316746646;-0,57;30;-0,258824923
153,6291167;-0,326695572;-0,57;31;-0,266973874
153,8228483;-0,335844669;-0,57;32;-0,275076309
154,0165798;-0,344192313;-0,57;33;-0,283130815
154,2103114;-0,351738181;-0,57;34;-0,291135989
154,4040429;-0,358481953;-0,57;35;-0,299090437
154,5977745;-0,364423307;-0,57;36;-0,306992772
154,791506;-0,36956192;-0,57;37;-0,314841618
154,9852376;-0,376971213;-0,57;38;-0,322635607
155,1789691;-0,384841097;-0,57;39;-0,330373381
155,3727007;-0,392659974;-0,57;40;-0,338053592
155,5664322;-0,400427844;-0,57;41;-0,345674901
155,7601638;-0,408144713;-0,57;42;-0,353235981
155,9538953;-0,415810582;-0,57;43;-0,360735515
156,1476269;-0,423425454;-0,57;44;-0,368172195
156,3413584;-0,430989332;-0,57;45;-0,375544726
156,53509;-0,438502219;-0,57;46;-0,382851824
156,7288215;-0,445964117;-0,57;47;-0,390092214
156,922553;-0,45337503;-0,57;48;-0,397264637
157,1162846;-0,46073496;-0,57;49;-0,404367841
157,3100161;-0,468043911;-0,57;50;-0,41140059
157,5037477;-0,475301885;-0,57;51;-0,418361657
157,6974792;-0,481529793;-0,57;52;-0,425249831
157,8912108;-0,487419224;-0,57;53;-0,43206391
158,0849423;-0,493196958;-0,57;54;-0,438802708
158,2786739;-0,498863017;-0,57;55;-0,445465051
158,4724054;-0,504417427;-0,57;56;-0,452049777
158,666137;-0,509860212;-0,57;57;-0,458555739
158,8598685;-0,515191396;-0,57;58;-0,464981805
159,0536001;-0,520522631;-0,57;59;-0,471326853
159,2473316;-0,526455716;-0,57;60;-0,477589779
159,4410632;-0,53233606;-0,57;61;-0,483769492
159,6347947;-0,538163688;-0,57;62;-0,489864914
159,8285263;-0,543938624;-0,57;63;-0,495874983
160,0222578;-0,549660895;-0,57;64;-0,501798653
160,2159893;-0,555330526;-0,57;65;-0,507634892
160,4097209;-0,560947543;-0,57;66;-0,513382681
160,6034524;-0,566511969;-0,57;67;-0,519041021
160,797184;-0,572023832;-0,57;68;-0,524608925
160,9909155;-0,57709733;-0,57;69;-0,530085422
161,1846471;-0,580083333;-0,57;70;-0,53546956
161,3783786;-0,583070573;-0,57;71;-0,540760398
161,5721102;-0,586059065;-0,57;72;-0,545957017
161,7658417;-0,589048823;-0,57;73;-0,55105851
161,9595733;-0,592039863;-0,57;74;-0,556063988
162,1533048;-0,5950322;-0,57;75;-0,560972579
162,3470364;-0,598025848;-0,57;76;-0,565783429
162,5407679;-0,601020822;-0,57;77;-0,570495698
162,7344995;-0,604017137;-0,57;78;-0,575108566
162,928231;-0,606148276;-0,57;79;-0,579621229
163,1219625;-0,607633403;-0,57;80;-0,584032901
163,3156941;-0,609114347;-0,57;81;-0,588342813
163,5094256;-0,610591116;-0,57;82;-0,592550214
163,7031572;-0,612063718;-0,57;83;-0,596654371
163,8968887;-0,61353216;-0,57;84;-0,600654568
164,0906203;-0,614996452;-0,57;85;-0,60455011
164,2843518;-0,616456599;-0,57;86;-0,608340317
164,4780834;-0,617912611;-0,57;87;-0,612024529
164,6718149;-0,619364495;-0,57;88;-0,615602104
164,8655465;-0,620812259;-0,57;89;-0,619072418
165,059278;-0,62225591;-0,57;90;-0,622434868
165,2530096;-0,623695457;-0,57;91;-0,625688866
165,4467411;-0,625130908;-0,57;92;-0,628833846
165,6404727;-0,626560856;-0,57;93;-0,631869261
165,8342042;-0,627961717;-0,57;94;-0,63479458
166,0279358;-0,629325696;-0,57;95;-0,637609295
166,2216673;-0,630652793;-0,57;96;-0,640312916
166,4153988;-0,631943006;-0,57;97;-0,64290497
166,6091304;-0,633196336;-0,57;98;-0,645385007
166,8028619;-0,634412781;-0,57;99;-0,647752593
166,9965935;-0,635592341;-0,57;100;-0,650007318
167,190325;-0,636735015;-0,57;101;-0,652148788
167,3840566;-0,637840802;-0,57;102;-0,654176629
167,5777881;-0,638909701;-0,57;103;-0,656090489
167,7715197;-0,639941713;-0,57;104;-0,657890034
167,9652512;-0,640936836;-0,57;105;-0,65957495
168,1589828;-0,64189507;-0,57;106;-0,661144944
168,3527143;-0,642816413;-0,57;107;-0,662599742
168,5464459;-0,643700866;-0,57;108;-0,663939092
168,7401774;-0,644548428;-0,57;109;-0,665162758
168,933909;-0,645359098;-0,57;110;-0,666270529
169,1276405;-0,646132876;-0,57;111;-0,667262212
169,3213721;-0,646869761;-0,57;112;-0,668137632
169,5151036;-0,647569752;-0,57;113;-0,668896639
169,7088351;-0,648232849;-0,57;114;-0,669539099
169,9025667;-0,648859052;-0,57;115;-0,670064901
170,0962982;-0,64944836;-0,57;116;-0,670473954
170,2900298;-0,650000772;-0,57;117;-0,670766185
170,4837613;-0,650516288;-0,57;118;-0,670941544
170,6774929;-0,650994907;-0,57;119;-0,671
170,8712244;-0,651436629;-0,57;120;-0,670941544
171,064956;-0,651841454;-0,57;121;-0,670766185
171,2586875;-0,652209381;-0,57;122;-0,670473954
171,4524191;-0,652540409;-0,57;123;-0,670064901
171,6461506;-0,652834539;-0,57;124;-0,669539099
171,8398822;-0,653091769;-0,57;125;-0,668896639
172,0336137;-0,653312099;-0,57;126;-0,668137632
172,2273453;-0,65349553;-0,57;127;-0,667262212
172,4210768;-0,65364206;-0,57;128;-0,666270529
172,6148084;-0,653751689;-0,57;129;-0,665162758
172,8085399;-0,652718305;-0,57;130;-0,663939092
173,0022714;-0,651256227;-0,57;131;-0,662599742
173,196003;-0,64978553;-0,57;132;-0,661144944
173,3897345;-0,648306213;-0,57;133;-0,65957495
173,5834661;-0,646818276;-0,57;134;-0,657890034
173,7771976;-0,64532172;-0,57;135;-0,656090489
173,9709292;-0,643816544;-0,57;136;-0,654176629
174,1646607;-0,642302749;-0,57;137;-0,652148788
174,3583923;-0,640780334;-0,57;138;-0,650007318
174,5521238;-0,639249299;-0,57;139;-0,647752593
174,7458554;-0,637709645;-0,57;140;-0,645385007
174,9395869;-0,636161371;-0,57;141;-0,64290497
175,1333185;-0,634604478;-0,57;142;-0,640312916
175,32705;-0,633038966;-0,57;143;-0,637609295
175,5207816;-0,631464834;-0,57;144;-0,63479458
175,7145131;-0,629882083;-0,57;145;-0,631869261
175,9082447;-0,628290713;-0,57;146;-0,628833846
176,1019762;-0,626690723;-0,57;147;-0,625688866
176,2957077;-0,625082114;-0,57;148;-0,622434868
176,4894393;-0,623464886;-0,57;149;-0,619072418
176,6831708;-0,621839039;-0,57;150;-0,615602104
176,8769024;-0,620269116;-0,57;151;-0,612024529
177,0706339;-0,619039105;-0,57;152;-0,608340317
177,2643655;-0,617873888;-0,57;153;-0,60455011
177,458097;-0,616773494;-0,57;154;-0,600654568
177,6518286;-0,615737953;-0,57;155;-0,596654371
177,8455601;-0,614767294;-0,57;156;-0,592550214
178,0392917;-0,613861547;-0,57;157;-0,588342813
178,2330232;-0,613020742;-0,57;158;-0,584032901
178,4267548;-0,611232123;-0,57;159;-0,579621229
178,6204863;-0,606771558;-0,57;160;-0,575108566
178,8142179;-0,602276053;-0,57;161;-0,570495698
179,0079494;-0,597745615;-0,57;162;-0,565783429
179,2016809;-0,593180252;-0,57;163;-0,560972579
179,3954125;-0,588579973;-0,57;164;-0,556063988
179,589144;-0,583944786;-0,57;165;-0,55105851
179,7828756;-0,579274699;-0,57;166;-0,545957017
179,9766071;-0,57456972;-0,57;167;-0,540760398
180,1703387;-0,569829859;-0,57;168;-0,53546956
180,3640702;-0,565055122;-0,57;169;-0,530085422
180,5578018;-0,560245519;-0,57;170;-0,524608925
180,7515333;-0,555401058;-0,57;171;-0,519041021
180,9452649;-0,550521747;-0,57;172;-0,513382681
181,1389964;-0,545607594;-0,57;173;-0,507634892
181,332728;-0,540658609;-0,57;174;-0,501798653
181,5264595;-0,535674799;-0,57;175;-0,495874983
181,7201911;-0,530656172;-0,57;176;-0,489864914
181,9139226;-0,525602738;-0,57;177;-0,483769492
182,1076542;-0,520514504;-0,57;178;-0,477589779
182,3013857;-0,51539148;-0,57;179;-0,471326853
182,4951172;-0,510233673;-0,57;180;-0,464981805
182,6888488;-0,505041092;-0,57;181;-0,458555739
182,8825803;-0,499813745;-0,57;182;-0,452049777
183,0763119;-0,494551642;-0,57;183;-0,445465051
183,2700434;-0,48925479;-0,57;184;-0,438802708
183,463775;-0,483923198;-0,57;185;-0,43206391
183,6575065;-0,478556875;-0,57;186;-0,425249831
183,8512381;-0,473155829;-0,57;187;-0,418361657
184,0449696;-0,467720069;-0,57;188;-0,41140059
184,2387012;-0,462249603;-0,57;189;-0,404367841
184,4324327;-0,45674444;-0,57;190;-0,397264637
184,6261643;-0,451204589;-0,57;191;-0,390092214
184,8198958;-0,445630058;-0,57;192;-0,382851824
185,0136274;-0,440020855;-0,57;193;-0,375544726
185,2073589;-0,434376991;-0,57;194;-0,368172195
185,4010905;-0,428698472;-0,57;195;-0,360735515
185,594822;-0,422985309;-0,57;196;-0,353235981
185,7885535;-0,417237509;-0,57;197;-0,345674901
185,9822851;-0,411455081;-0,57;198;-0,338053592
186,1760166;-0,405176638;-0,57;199;-0,330373381
186,3697482;-0,398686231;-0,57;200;-0,322635607
186,5634797;-0,393636833;-0,57;201;-0,314841618
186,7572113;-0,388454597;-0,57;202;-0,306992772
186,9509428;-0,382586193;-0,57;203;-0,299090437
187,1446744;-0,376031342;-0,57;204;-0,291135989
187,3384059;-0,36878977;-0,57;205;-0,283130815
187,5321375;-0,3608612;-0,57;206;-0,275076309
187,725869;-0,351284113;-0,57;207;-0,266973874
187,9196006;-0,339817603;-0,57;208;-0,258824923
188,1133321;-0,326419748;-0,57;209;-0,250630875
188,3070637;-0,312032998;-0,57;210;-0,242393158
188,5007952;-0,297801496;-0,57;211;-0,234113207
188,6945268;-0,28372528;-0,57;212;-0,225792465
188,8882583;-0,269804391;-0,57;213;-0,217432382
189,0819898;-0,256038869;-0,57;214;-0,209034414
189,2757214;-0,242428752;-0,57;215;-0,200600025
189,4694529;-0,228974081;-0,57;216;-0,192130684
189,6631845;-0,215674896;-0,57;217;-0,183627866
189,856916;-0,202531236;-0,57;218;-0,175093054
190,0506476;-0,189543139;-0,57;219;-0,166527734
190,2443791;-0,178951497;-0,57;220;-0,157933399
190,4381107;-0,168692604;-0,57;221;-0,149311547
190,6318422;-0,158470074;-0,57;222;-0,140663678
190,8255738;-0,148283901;-0,57;223;-0,131991301
191,0193053;-0,138134076;-0,57;224;-0,123295926
191,2130369;-0,128020593;-0,57;225;-0,114579069
191,4067684;-0,117943444;-0,57;226;-0,105842248
191,6005;-0,107902622;-0,57;227;-0,097086985
191,7942315;-0,097898121;-0,57;228;-0,088314806
191,987963;-0,087929932;-0,57;229;-0,079527239
192,1816946;-0,077998049;-0,57;230;-0,070725816
192,3754261;-0,068102464;-0,57;231;-0,061912069
192,5691577;-0,05824317;-0,57;232;-0,053087536
192,7628892;-0,04842016;-0,57;233;-0,044253752
192,9566208;-0,038633426;-0,57;234;-0,035412258
193,1503523;-0,02888296;-0,57;235;-0,026564594
193,3440839;-0,019168757;-0,57;236;-0,017712301
193,5378154;-0,009490808;-0,57;237;-0,008856922
193,731547;0,000150895;-0,57;238;-8,22E-17
