"Distance [mm],""Bz []""";;;;
0;;;;
0.19373154697137,;;;;
0.387463093942741,;;;;
0.581194640914111,;;;;
0.774926187885482,;;;;
0.968657734856852,;;;;
29,25346359;0,634850093;0,57;99;0,647752593
29,44719514;0,636300008;0,57;100;0,650007318
29,64092669;0,637727094;0,57;101;0,652148788
29,83465823;0,639131347;0,57;102;0,654176629
30,02838978;0,640512761;0,57;103;0,656090489
30,22212133;0,641871335;0,57;104;0,657890034
30,41585287;0,643207062;0,57;105;0,65957495
30,60958442;0,644519939;0,57;106;0,661144944
30,80331597;0,645809963;0,57;107;0,662599742
30,99704752;0,647077128;0,57;108;0,663939092
31,19077906;0,648321432;0,57;109;0,665162758
31,38451061;0,649542869;0,57;110;0,666270529
31,57824216;0,650741437;0,57;111;0,667262212
31,7719737;0,65191713;0,57;112;0,668137632
31,96570525;0,653069945;0,57;113;0,668896639
32,1594368;0,654199877;0,57;114;0,669539099
32,35316834;0,655306924;0,57;115;0,670064901
32,54689989;0,65639108;0,57;116;0,670473954
32,74063144;0,656463291;0,57;117;0,670766185
32,93436299;0,656386061;0,57;118;0,670941544
33,12809453;0,656378285;0,57;119;0,671
33,32182608;0,656439959;0,57;120;0,670941544
33,51555763;0,656571078;0,57;121;0,670766185
33,70928917;0,656771635;0,57;122;0,670473954
33,90302072;0,657041625;0,57;123;0,670064901
34,09675227;0,656564445;0,57;124;0,669539099
34,29048381;0,655676362;0,57;125;0,668896639
34,48421536;0,654730825;0,57;126;0,668137632
34,67794691;0,653727834;0,57;127;0,667262212
34,87167845;0,652667388;0,57;128;0,666270529
35,06541;0,651549487;0,57;129;0,665162758
35,25914155;0,650374133;0,57;130;0,663939092
35,4528731;0,649141325;0,57;131;0,662599742
35,64660464;0,647851064;0,57;132;0,661144944
35,84033619;0,64650335;0,57;133;0,65957495
36,03406774;0,645098182;0,57;134;0,657890034
36,22779928;0,643635562;0,57;135;0,656090489
36,42153083;0,64211549;0,57;136;0,654176629
36,61526238;0,640537966;0,57;137;0,652148788
36,80899392;0,638902991;0,57;138;0,650007318
37,00272547;0,637210564;0,57;139;0,647752593
37,19645702;0,635460687;0,57;140;0,645385007
37,39018857;0,633653359;0,57;141;0,64290497
37,58392011;0,631788581;0,57;142;0,640312916
37,77765166;0,629866354;0,57;143;0,637609295
37,97138321;0,627886678;0,57;144;0,63479458
38,16511475;0,625789481;0,57;145;0,631869261
38,3588463;0,623278009;0,57;146;0,628833846
38,55257785;0,620732866;0,57;147;0,625688866
38,74630939;0,618154035;0,57;148;0,622434868
38,94004094;0,615541495;0,57;149;0,619072418
39,13377249;0,612895227;0,57;150;0,615602104
39,32750404;0,610215212;0,57;151;0,612024529
39,52123558;0,607501431;0,57;152;0,608340317
39,71496713;0,604753864;0,57;153;0,60455011
39,90869868;0,601972492;0,57;154;0,600654568
40,10243022;0,599157295;0,57;155;0,596654371
