rpm	 J-Current density	 V_ph (rms)	 I_ph (rms)	 P_desired	 P_total	 Efficiency	 Temperature	 P_net
1	1.358842e+00	2.489643e+01	4.068244e+02	195000	2.439102e+05	7.474579e-01	2.301462e+01	1.823126e+05
 1	2.092627e+00	1.983119e+01	6.265126e+02	420000	3.716659e+05	6.017254e-01	2.714953e+01	2.236408e+05
 2.900000e+00	1.682072e+00	8.567524e+01	5.035964e+02	786000	8.734958e+05	8.890980e-01	2.461938e+01	7.766234e+05
 4.800000e+00	1.607364e+00	1.492763e+02	4.812294e+02	1296000	1.385641e+06	9.331791e-01	2.421815e+01	1.293051e+06
 6.700000e+00	1.704927e+00	2.113903e+02	5.104388e+02	1943000	2.051900e+06	9.465534e-01	2.474576e+01	1.942233e+06
 8.600000e+00	1.835190e+00	2.729665e+02	5.494383e+02	2699000	2.833191e+06	9.528509e-01	2.549865e+01	2.699608e+06
 1.050000e+01	1.934878e+00	3.346200e+02	5.792841e+02	3487000	3.645898e+06	9.569990e-01	2.611225e+01	3.489121e+06
 12	2.023715e+00	3.830005e+02	6.058809e+02	4174000	4.355518e+06	9.590015e-01	2.668640e+01	4.176948e+06
 12	2.456905e+00	3.769779e+02	7.355738e+02	5000000	5.237691e+06	9.529601e-01	2.985531e+01	4.991311e+06
 
